time_min,inlet_temp,u1_flow,u1_outlet,u2_flow,u2_outlet,scope1_co2,opex
1.0,25.0,8.0,102.9,5.0,119.67,107.071,4477.85
2.0,25.0,7.77,102.52,5.03,119.37,104.672,4378.9
3.0,25.0,7.57,101.88,5.1,119.06,102.781,4301.18
4.0,25.0,7.42,101.1,5.19,118.74,101.61,4253.49
5.0,25.0,7.33,100.31,5.32,118.44,101.263,4240.19
6.0,25.0,7.3,99.61,5.47,118.18,101.72,4260.44
7.0,25.3,7.33,99.1,5.65,118.0,102.701,4302.87
8.0,25.54,7.39,98.8,5.85,117.91,104.023,4359.6
9.0,25.73,7.46,98.67,6.06,117.93,105.493,4422.59
10.0,25.87,7.53,98.69,6.27,118.06,106.949,4484.97
11.0,25.29,7.59,98.75,6.46,118.28,108.649,4556.79
12.0,24.81,7.68,98.9,6.64,118.57,110.457,4632.99
13.0,24.42,7.72,99.07,6.73,118.88,111.495,4676.61
14.0,24.12,7.78,99.27,6.79,119.2,112.433,4715.86
15.0,23.88,7.83,99.51,6.82,119.51,113.197,4747.65
16.0,23.69,7.88,99.76,6.82,119.8,113.73,4769.62
17.0,23.56,7.91,100.02,6.79,120.06,114.012,4780.97
18.0,23.46,7.93,100.25,6.73,120.27,114.022,4780.84
19.0,23.4,7.94,100.46,6.66,120.43,113.797,4770.8
20.0,23.37,7.93,100.62,6.56,120.54,113.359,4751.76
21.0,23.36,7.91,100.72,6.46,120.59,112.758,4725.89
22.0,23.36,7.89,100.76,6.35,120.58,112.061,4696.0
23.0,23.39,7.86,100.75,6.24,120.51,111.338,4665.04
24.0,23.42,7.83,100.7,6.14,120.39,110.638,4635.08
25.0,23.46,7.8,100.61,6.05,120.24,110.012,4608.31
26.0,23.51,7.78,100.51,5.98,120.06,109.499,4586.35
27.0,23.57,7.81,100.48,5.97,119.91,109.834,4600.17
28.0,23.63,7.8,100.44,5.93,119.75,109.474,4584.89
29.0,23.69,7.83,100.46,5.96,119.64,109.899,4602.77
30.0,23.76,7.81,100.45,5.94,119.53,109.575,4589.28
31.0,23.82,7.83,100.49,5.99,119.48,109.991,4607.01
32.0,23.88,7.8,100.48,5.99,119.43,109.624,4591.92
33.0,23.95,7.82,100.5,6.05,119.42,109.986,4607.5
34.0,24.01,7.78,100.47,6.06,119.41,109.567,4590.29
35.0,24.07,7.8,100.46,6.12,119.44,109.881,4603.92
36.0,24.12,7.76,100.4,6.12,119.45,109.434,4585.52
37.0,24.18,7.77,100.37,6.18,119.49,109.744,4598.94
38.0,24.23,7.78,100.37,6.23,119.55,110.027,4611.18
39.0,24.28,7.74,100.3,6.22,119.59,109.535,4590.84
40.0,24.33,7.75,100.27,6.26,119.64,109.8,4602.2
41.0,24.38,7.71,100.19,6.25,119.66,109.318,4582.17
42.0,24.42,7.73,100.15,6.28,119.69,109.606,4594.41
43.0,24.46,7.75,100.15,6.31,119.73,109.886,4606.36
44.0,24.5,7.71,100.09,6.29,119.75,109.404,4586.2
45.0,24.54,7.73,100.08,6.32,119.78,109.678,4597.81
46.0,24.57,7.74,100.1,6.34,119.81,109.92,4608.06
47.0,24.6,7.71,100.06,6.31,119.82,109.392,4585.93
48.0,24.63,7.72,100.05,6.33,119.83,109.613,4595.27
49.0,24.66,7.74,100.07,6.34,119.86,109.816,4603.87
50.0,24.68,7.7,100.03,6.31,119.85,109.251,4580.13
51.0,24.71,7.71,100.01,6.32,119.85,109.448,4588.44
52.0,24.73,7.73,100.03,6.34,119.87,109.639,4596.53
53.0,24.75,7.74,100.06,6.35,119.89,109.79,4602.93
54.0,24.77,7.7,100.02,6.31,119.88,109.175,4577.12
