time_min,status,inlet_temp,u1_flow,u1_outlet,u2_flow,u2_outlet,carbon_tax,co2_tons,opex
2.0,NORMAL,25.0,7.96,100.82,5.07,118.89,40.0,107.343,4489.11
3.0,NORMAL,25.0,7.9,101.0,5.18,118.58,40.0,106.963,4474.61
4.0,NORMAL,25.0,7.82,101.02,5.32,118.4,40.0,106.57,4459.79
5.0,NORMAL,25.0,7.73,100.9,5.48,118.32,40.0,106.255,4448.4
6.0,NORMAL,25.0,7.66,100.68,5.65,118.31,40.0,106.104,4443.78
7.0,NORMAL,25.0,7.61,100.42,5.82,118.36,40.0,106.17,4448.15
8.0,NORMAL,25.0,7.57,100.14,5.98,118.44,40.0,106.458,4461.64
9.0,NORMAL,25.0,7.56,99.89,6.14,118.57,40.0,106.965,4484.07
10.0,NORMAL,25.0,7.57,99.7,6.28,118.72,40.0,107.636,4513.2
11.0,NORMAL,25.0,7.6,99.57,6.41,118.9,40.0,108.405,4546.23
12.0,NORMAL,25.0,7.63,99.53,6.52,119.1,40.0,109.204,4580.35
13.0,NORMAL,25.0,7.67,99.55,6.61,119.32,40.0,109.946,4611.94
14.0,NORMAL,25.0,7.7,99.63,6.67,119.55,40.0,110.573,4638.59
15.0,NORMAL,25.0,7.73,99.74,6.72,119.78,40.0,111.034,4658.15
16.0,NORMAL,25.0,7.75,99.87,6.74,119.99,40.0,111.308,4669.76
17.0,NORMAL,25.0,7.76,99.99,6.74,120.19,40.0,111.391,4673.24
18.0,NORMAL,25.0,7.77,100.09,6.72,120.36,40.0,111.3,4669.31
19.0,NORMAL,25.0,7.76,100.17,6.69,120.48,40.0,111.066,4659.33
20.0,NORMAL,25.0,7.74,100.21,6.64,120.57,40.0,110.729,4644.9
21.0,NORMAL,25.0,7.73,100.22,6.58,120.61,40.0,110.333,4627.97
22.0,NORMAL,25.0,7.71,100.19,6.52,120.62,40.0,109.923,4610.38
23.0,NORMAL,25.0,7.7,100.15,6.46,120.58,40.0,109.542,4593.98
24.0,NORMAL,25.0,7.68,100.09,6.4,120.51,40.0,109.214,4579.83
25.0,NORMAL,25.0,7.68,100.03,6.35,120.42,40.0,108.966,4569.03
26.0,NORMAL,25.0,7.67,99.98,6.31,120.32,40.0,108.802,4561.82
27.0,NORMAL,25.0,7.68,99.94,6.28,120.21,40.0,108.716,4557.92
28.0,NORMAL,25.0,7.68,99.91,6.26,120.1,40.0,108.702,4557.09
29.0,NORMAL,25.0,7.69,99.9,6.25,120.01,40.0,108.749,4558.95
30.0,NORMAL,25.0,7.7,99.91,6.24,119.93,40.0,108.834,4562.45
31.0,NORMAL,25.0,7.7,99.92,6.25,119.87,40.0,108.936,4566.73
32.0,NORMAL,25.0,7.71,99.94,6.26,119.83,40.0,109.048,4571.51
33.0,NORMAL,25.0,7.71,99.97,6.28,119.81,40.0,109.156,4576.14
34.0,NORMAL,25.0,7.72,100.0,6.3,119.81,40.0,109.244,4579.99
35.0,NORMAL,25.0,7.72,100.02,6.32,119.82,40.0,109.306,4582.77
36.0,NORMAL,25.0,7.71,100.04,6.34,119.84,40.0,109.349,4584.72
37.0,NORMAL,25.0,7.71,100.04,6.35,119.86,40.0,109.368,4585.7
38.0,NORMAL,25.0,7.71,100.05,6.37,119.89,40.0,109.383,4586.43
39.0,NORMAL,25.0,7.7,100.04,6.38,119.92,40.0,109.379,4586.4
40.0,NORMAL,25.0,7.7,100.03,6.39,119.95,40.0,109.375,4586.3
41.0,NORMAL,25.0,7.7,100.02,6.39,119.97,40.0,109.37,4586.12
42.0,NORMAL,25.0,7.7,100.01,6.39,119.99,40.0,109.366,4586.01
43.0,NORMAL,25.0,7.7,99.99,6.4,120.0,40.0,109.364,4585.93
44.0,NORMAL,25.0,7.7,99.99,6.4,120.02,40.0,109.376,4586.4
45.0,NORMAL,25.0,7.7,99.98,6.39,120.02,40.0,109.379,4586.52
46.0,NORMAL,25.0,7.7,99.98,6.39,120.03,40.0,109.39,4586.96
47.0,NORMAL,25.0,7.7,99.98,6.39,120.03,40.0,109.397,4587.22
48.0,NORMAL,25.0,7.7,99.98,6.39,120.03,40.0,109.403,4587.44
49.0,NORMAL,25.0,7.7,99.99,6.38,120.03,40.0,109.409,4587.64
50.0,NORMAL,25.0,7.7,99.99,6.38,120.03,40.0,109.405,4587.47
51.0,NORMAL,25.0,7.71,100.0,6.38,120.03,40.0,109.402,4587.29
52.0,NORMAL,25.0,7.71,100.0,6.37,120.03,40.0,109.389,4586.76
53.0,NORMAL,25.0,7.71,100.01,6.37,120.03,40.0,109.377,4586.23
54.0,NORMAL,25.0,7.7,100.01,6.37,120.02,40.0,109.357,4585.35
55.0,NORMAL,25.0,7.7,100.01,6.37,120.02,40.0,109.341,4584.66
56.0,NORMAL,25.0,7.7,100.01,6.36,120.02,40.0,109.325,4583.98
57.0,NORMAL,25.0,7.7,100.01,6.36,120.01,40.0,109.309,4583.31
58.0,NORMAL,25.0,7.7,100.0,6.36,120.01,40.0,109.297,4582.82
59.0,NORMAL,25.0,7.7,100.0,6.36,120.0,40.0,109.294,4582.68
60.0,NORMAL,25.0,7.7,100.0,6.36,120.0,40.0,109.295,4582.71
61.0,NORMAL,25.0,7.7,100.0,6.36,119.99,40.0,109.295,4582.73
62.0,NORMAL,25.0,7.7,100.0,6.36,119.99,40.0,109.299,4582.9
63.0,NORMAL,25.0,7.7,100.0,6.36,119.99,40.0,109.303,4583.08
64.0,NORMAL,25.0,7.7,99.99,6.36,119.99,40.0,109.307,4583.25
65.0,NORMAL,25.0,7.7,100.0,6.36,119.99,40.0,109.32,4583.77
66.0,NORMAL,25.0,7.7,100.0,6.36,119.99,40.0,109.323,4583.93
67.0,NORMAL,25.0,7.7,100.0,6.37,119.99,40.0,109.327,4584.08
68.0,NORMAL,25.0,7.7,100.0,6.37,119.99,40.0,109.33,4584.24
69.0,NORMAL,25.0,7.7,100.0,6.37,119.99,40.0,109.334,4584.4
70.0,NORMAL,25.0,7.7,100.0,6.37,119.99,40.0,109.337,4584.55
71.0,NORMAL,25.0,7.7,100.0,6.37,119.99,40.0,109.341,4584.71
72.0,NORMAL,25.0,7.7,100.0,6.37,119.99,40.0,109.345,4584.87
73.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.348,4585.03
74.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.348,4585.03
75.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.348,4585.03
76.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.348,4585.03
77.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.348,4585.03
78.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.348,4585.03
79.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.348,4585.02
80.0,NORMAL,25.0,7.7,100.0,6.37,120.01,40.0,109.348,4585.02
81.0,NORMAL,25.0,7.7,100.0,6.37,120.01,40.0,109.344,4584.86
82.0,NORMAL,25.0,7.7,100.0,6.37,120.01,40.0,109.341,4584.7
83.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
84.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
85.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
86.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
87.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
88.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
89.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
90.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
91.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
92.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
93.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
94.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
95.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
96.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
97.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
98.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
99.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
100.0,NORMAL,25.0,7.7,100.0,6.37,120.0,40.0,109.337,4584.54
101.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,7.7,91.14,6.37,118.89,40.0,50.744,2240.82
102.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,7.1,83.48,6.87,117.33,40.0,53.169,2336.3
103.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,6.5,76.81,7.37,115.55,40.0,55.609,2432.4
104.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,5.9,70.97,7.87,113.73,40.0,58.056,2528.79
105.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,5.3,65.82,8.37,112.0,40.0,60.506,2625.3
106.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,4.7,61.24,8.87,110.43,40.0,62.959,2721.91
107.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,4.1,57.14,9.37,109.08,40.0,65.416,2818.69
108.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,3.5,53.44,9.87,107.98,40.0,67.88,2915.76
109.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,2.9,50.08,10.37,107.14,40.0,70.356,3013.29
110.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,2.3,46.99,10.87,106.58,40.0,72.847,3111.45
111.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.7,44.13,11.37,106.28,40.0,75.36,3210.46
112.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.1,41.46,11.87,106.23,40.0,77.899,3310.5
113.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,39.19,12.37,106.46,40.0,81.963,3479.03
114.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,37.3,12.87,106.95,40.0,86.244,3657.79
115.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,35.72,13.37,107.7,40.0,90.421,3832.35
116.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,34.41,13.87,108.69,40.0,94.504,4003.18
117.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,33.31,14.37,109.92,40.0,98.504,4170.69
118.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,32.4,14.87,111.36,40.0,102.431,4335.27
119.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,31.64,15.0,112.64,40.0,103.827,4393.08
120.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,31.01,15.0,113.66,40.0,104.257,4410.26
121.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,30.48,15.0,114.47,40.0,104.614,4424.58
122.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,30.04,15.0,115.12,40.0,104.913,4436.51
123.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,29.67,15.0,115.63,40.0,105.161,4446.45
124.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,29.37,15.0,116.04,40.0,105.368,4454.73
125.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,29.11,15.0,116.36,40.0,105.541,4461.64
126.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.9,15.0,116.62,40.0,105.685,4467.39
127.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.72,15.0,116.82,40.0,105.805,4472.18
128.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.58,15.0,116.97,40.0,105.904,4476.18
129.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.45,15.0,117.09,40.0,105.988,4479.51
130.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.35,15.0,117.19,40.0,106.057,4482.28
131.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.27,15.0,117.26,40.0,106.115,4484.59
132.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.2,15.0,117.32,40.0,106.163,4486.52
133.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.14,15.0,117.36,40.0,106.203,4488.13
134.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.09,15.0,117.39,40.0,106.237,4489.46
135.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.05,15.0,117.42,40.0,106.264,4490.58
136.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.01,15.0,117.43,40.0,106.288,4491.51
137.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,27.98,15.0,117.45,40.0,106.307,4492.28
138.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,27.96,15.0,117.46,40.0,106.323,4492.93
139.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,27.94,15.0,117.46,40.0,106.337,4493.47
140.0,NORMAL,25.0,1.0,29.07,15.0,117.54,40.0,113.507,4780.26
141.0,NORMAL,25.0,6.67,39.22,15.0,118.31,40.0,170.215,7133.71
142.0,NORMAL,25.0,11.54,55.58,15.0,120.07,40.0,213.622,8942.92
143.0,NORMAL,25.0,15.0,74.82,14.99,122.84,40.0,239.353,10024.03
144.0,NORMAL,25.0,15.0,90.86,14.71,126.09,40.0,227.343,9539.37
145.0,NORMAL,25.0,15.0,104.23,14.1,129.44,40.0,216.375,9091.49
146.0,NORMAL,25.0,14.66,114.82,13.16,132.61,40.0,203.055,8539.48
147.0,NORMAL,25.0,13.48,121.72,11.89,135.33,40.0,182.346,7674.4
148.0,NORMAL,25.0,11.74,124.65,10.36,137.31,40.0,157.464,6630.07
149.0,NORMAL,25.0,9.77,123.89,8.63,138.24,40.0,131.331,5529.21
150.0,NORMAL,25.0,7.86,120.15,6.81,137.89,40.0,106.437,4477.41
151.0,NORMAL,25.0,6.24,114.43,5.02,136.13,40.0,84.833,3562.23
152.0,NORMAL,25.0,5.09,107.78,3.4,133.02,40.0,68.139,2852.98
153.0,NORMAL,25.0,4.47,101.23,2.1,128.8,40.0,57.538,2400.05
154.0,NORMAL,25.0,4.37,95.61,1.22,123.95,40.0,53.613,2228.39
155.0,NORMAL,25.0,4.72,91.5,1.0,119.12,40.0,56.884,2361.16
156.0,NORMAL,25.0,5.4,89.18,1.09,114.78,40.0,64.971,2696.14
157.0,NORMAL,25.0,6.26,88.65,1.61,111.38,40.0,76.852,3192.19
158.0,NORMAL,25.0,7.17,89.68,2.47,109.23,40.0,90.47,3763.48
159.0,NORMAL,25.0,8.0,91.88,3.55,108.38,40.0,103.765,4323.8
160.0,NORMAL,25.0,8.65,94.77,4.71,108.74,40.0,115.057,4802.65
161.0,NORMAL,25.0,9.07,97.85,5.84,110.07,40.0,123.268,5154.29
162.0,NORMAL,25.0,9.24,100.7,6.83,112.05,40.0,128.002,5361.12
163.0,NORMAL,25.0,9.18,102.99,7.63,114.38,40.0,129.436,5429.57
164.0,NORMAL,25.0,8.94,104.5,8.19,116.78,40.0,128.151,5382.99
165.0,NORMAL,25.0,8.58,105.18,8.51,119.01,40.0,124.954,5254.56
166.0,NORMAL,25.0,8.17,105.07,8.61,120.91,40.0,120.687,5079.12
167.0,NORMAL,25.0,7.76,104.33,8.52,122.36,40.0,116.121,4889.05
168.0,NORMAL,25.0,7.42,103.14,8.28,123.32,40.0,111.876,4710.49
169.0,NORMAL,25.0,7.17,101.75,7.95,123.8,40.0,108.409,4563.07
170.0,NORMAL,25.0,7.03,100.36,7.57,123.84,40.0,105.971,4457.78
171.0,NORMAL,25.0,7.0,99.15,7.19,123.52,40.0,104.658,4399.05
172.0,NORMAL,25.0,7.06,98.26,6.83,122.97,40.0,104.41,4384.87
173.0,NORMAL,25.0,7.2,97.74,6.54,122.28,40.0,105.026,4407.15
174.0,NORMAL,25.0,7.38,97.6,6.31,121.57,40.0,106.244,4455.17
175.0,NORMAL,25.0,7.58,97.8,6.15,120.92,40.0,107.757,4516.2
176.0,NORMAL,25.0,7.75,98.24,6.06,120.38,40.0,109.265,4577.77
177.0,NORMAL,25.0,7.89,98.85,6.02,119.99,40.0,110.538,4630.26
178.0,NORMAL,25.0,7.99,99.5,6.02,119.74,40.0,111.396,4665.95
179.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,8.03,90.88,6.05,118.46,40.0,50.588,2234.61
180.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,7.43,83.42,6.55,116.76,40.0,52.849,2323.56
181.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,6.83,76.91,7.05,114.87,40.0,55.142,2413.77
182.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,6.23,71.21,7.55,112.97,40.0,57.456,2504.83
183.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,5.63,66.17,8.05,111.16,40.0,59.785,2596.49
184.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,5.03,61.68,8.55,109.53,40.0,62.127,2688.68
185.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,4.43,57.67,9.05,108.13,40.0,64.482,2781.39
186.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,3.83,54.03,9.55,106.99,40.0,66.853,2874.72
187.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,3.23,50.72,10.05,106.11,40.0,69.241,2968.76
188.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,2.63,47.68,10.55,105.5,40.0,71.652,3063.69
189.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,2.03,44.86,11.05,105.17,40.0,74.089,3159.65
190.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.43,42.22,11.55,105.09,40.0,76.556,3256.83
191.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,39.82,12.05,105.26,40.0,79.582,3379.02
192.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,37.83,12.55,105.69,40.0,83.882,3558.5
193.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,36.16,13.05,106.39,40.0,88.076,3733.74
194.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,34.78,13.55,107.33,40.0,92.175,3905.2
195.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,33.62,14.05,108.5,40.0,96.189,4073.3
196.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,32.66,14.55,109.88,40.0,100.13,4238.42
197.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,31.85,15.0,111.42,40.0,103.683,4387.34
198.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,31.18,15.0,112.65,40.0,104.137,4405.47
199.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,30.63,15.0,113.65,40.0,104.515,4420.59
200.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,30.16,15.0,114.44,40.0,104.83,4433.18
201.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,29.78,15.0,115.07,40.0,105.092,4443.68
202.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,29.45,15.0,115.58,40.0,105.311,4452.42
203.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,29.18,15.0,115.98,40.0,105.493,4459.71
204.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.96,15.0,116.31,40.0,105.645,4465.79
205.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.77,15.0,116.56,40.0,105.771,4470.85
206.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.62,15.0,116.76,40.0,105.877,4475.06
207.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.49,15.0,116.92,40.0,105.964,4478.58
208.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.38,15.0,117.05,40.0,106.038,4481.51
209.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.29,15.0,117.14,40.0,106.099,4483.95
210.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.22,15.0,117.22,40.0,106.15,4485.98
211.0,CRITICAL: U1 FOULING BLOCKAGE DETECTED,25.0,1.0,28.15,15.0,117.28,40.0,106.192,4487.68
