time_min,carbon_tax,inlet_temp,u1_flow,u1_outlet,u2_flow,u2_outlet,baseline_opex,optimized_opex,savings
1.0,40.0,25.0,8.0,100.48,5.0,119.35,4831.97,4499.69,332.28
2.0,40.0,25.0,7.98,100.85,5.05,118.88,4822.72,4493.51,329.21
3.0,40.0,25.0,7.93,101.08,5.14,118.57,4815.01,4485.81,329.2
4.0,40.0,25.0,7.88,101.19,5.26,118.38,4808.59,4477.81,330.77
5.0,40.0,25.0,7.82,101.18,5.39,118.29,4803.23,4470.73,332.51
6.0,40.0,25.0,7.76,101.08,5.52,118.28,4798.77,4465.95,332.82
7.0,40.0,25.0,7.71,100.9,5.66,118.31,4795.06,4464.39,330.66
8.0,40.0,25.0,7.66,100.69,5.8,118.38,4791.96,4467.18,324.78
9.0,40.0,25.0,7.63,100.45,5.92,118.48,4789.38,4474.25,315.13
10.0,40.0,25.0,7.61,100.22,6.05,118.59,4787.23,4485.69,301.54
11.0,40.0,25.0,7.59,100.01,6.16,118.72,4785.43,4500.92,284.52
12.0,40.0,25.0,7.59,99.83,6.26,118.85,4783.94,4519.04,264.9
13.0,40.0,25.0,7.6,99.69,6.35,119.0,4782.69,4539.24,243.46
14.0,40.0,25.0,7.62,99.61,6.43,119.15,4781.66,4560.24,221.42
15.0,40.0,25.0,7.64,99.56,6.5,119.31,4780.79,4580.66,200.14
16.0,40.0,25.0,7.66,99.57,6.56,119.47,4780.07,4599.68,180.39
17.0,40.0,25.0,7.68,99.6,6.6,119.63,4779.47,4616.01,163.46
18.0,40.0,25.0,7.7,99.67,6.63,119.79,4778.97,4629.27,149.71
19.0,40.0,25.0,7.72,99.74,6.65,119.94,4778.55,4638.65,139.9
20.0,40.0,25.0,7.73,99.83,6.65,120.07,4778.21,4644.4,133.81
21.0,40.0,25.0,7.74,99.92,6.64,120.2,4777.92,4646.4,131.51
22.0,40.0,25.0,7.74,100.0,6.63,120.3,4777.68,4644.76,132.91
23.0,40.0,25.0,7.74,100.06,6.6,120.38,4777.48,4640.15,137.32
24.0,40.0,25.0,7.74,100.11,6.57,120.44,4777.31,4633.32,143.98
25.0,40.0,25.0,7.73,100.14,6.54,120.48,4777.17,4624.78,152.38
26.0,40.0,25.0,7.73,100.16,6.5,120.49,4777.05,4615.24,161.81
27.0,40.0,25.0,7.72,100.16,6.46,120.47,4776.95,4605.29,171.67
28.0,40.0,25.0,7.71,100.15,6.42,120.44,4776.87,4595.74,181.13
