time_min,carbon_tax,inlet_temp,u1_flow,u1_outlet,u2_flow,u2_outlet,predicted_trend,baseline_opex,optimized_opex,savings
1.0,40.0,25.0,8.0,100.48,5.0,119.35,120.98,4831.97,4499.69,332.28
2.0,40.0,25.0,7.99,100.86,5.03,118.87,120.98,4822.72,4494.73,660.27
3.0,40.0,25.0,7.96,101.14,5.09,118.54,121.05,4815.01,4489.19,986.09
4.0,40.0,25.0,7.93,101.31,5.16,118.33,120.94,4808.59,4483.24,1311.44
5.0,40.0,25.0,7.89,101.39,5.25,118.2,120.94,4803.23,4477.4,1637.27
6.0,40.0,25.0,7.84,101.39,5.34,118.15,120.85,4798.77,4472.23,1963.81
7.0,40.0,25.0,7.8,101.32,5.43,118.14,120.91,4795.06,4468.12,2290.75
8.0,40.0,25.0,7.76,101.2,5.52,118.16,120.59,4791.96,4465.6,2617.11
9.0,40.0,25.0,7.73,101.04,5.61,118.21,120.31,4789.38,4465.03,2941.46
10.0,40.0,25.0,7.7,100.85,5.7,118.27,120.48,4787.23,4466.58,3262.1
11.0,40.0,25.0,7.67,100.66,5.79,118.34,120.5,4785.43,4470.47,3577.06
12.0,40.0,25.0,7.65,100.47,5.87,118.42,120.6,4783.94,4476.51,3884.49
13.0,40.0,25.0,7.64,100.28,5.95,118.5,120.6,4782.69,4484.51,4182.68
14.0,40.0,25.0,7.63,100.11,6.03,118.58,120.63,4781.66,4494.37,4469.97
15.0,40.0,25.0,7.62,99.97,6.1,118.67,120.66,4780.79,4505.76,4745.01
16.0,40.0,25.0,7.63,99.85,6.16,118.77,120.56,4780.07,4518.12,5006.96
17.0,40.0,25.0,7.63,99.76,6.22,118.87,120.56,4779.47,4531.07,5255.36
18.0,40.0,25.0,7.64,99.69,6.28,118.97,120.37,4778.97,4544.19,5490.14
19.0,40.0,25.0,7.65,99.65,6.33,119.08,120.55,4778.55,4557.19,5711.5
20.0,40.0,25.0,7.66,99.64,6.38,119.2,120.53,4778.21,4569.61,5920.1
21.0,40.0,25.4,7.67,99.68,6.42,119.32,120.51,4767.93,4571.7,6116.34
22.0,40.0,25.72,7.68,99.75,6.45,119.45,120.55,4759.42,4573.59,6302.17
23.0,40.0,25.97,7.69,99.85,6.48,119.58,120.6,4752.46,4574.71,6479.91
24.0,40.0,26.17,7.69,99.95,6.5,119.71,120.51,4746.87,4574.59,6652.19
25.0,40.0,26.31,7.69,100.06,6.52,119.85,120.54,4742.47,4573.15,6821.52
26.0,40.0,26.42,7.69,100.15,6.52,119.97,120.56,4739.12,4570.1,6990.53
27.0,40.0,26.49,7.68,100.22,6.53,120.09,120.44,4736.66,4565.82,7161.37
28.0,40.0,26.53,7.68,100.28,6.52,120.19,120.44,4734.98,4560.47,7335.88
29.0,40.0,26.55,7.67,100.31,6.51,120.27,120.44,4733.95,4554.27,7515.55
30.0,40.0,26.55,7.66,100.33,6.5,120.33,120.44,4733.48,4547.7,7701.33
31.0,40.0,26.53,7.65,100.32,6.48,120.38,120.54,4733.47,4540.94,7893.85
32.0,40.0,26.51,7.64,100.3,6.46,120.4,120.49,4733.85,4534.4,8093.3
33.0,40.0,26.47,7.63,100.26,6.44,120.41,120.49,4734.54,4528.34,8299.5
34.0,40.0,26.42,7.62,100.21,6.42,120.39,120.6,4735.5,4523.04,8511.95
35.0,40.0,26.37,7.62,100.16,6.4,120.37,120.6,4736.65,4518.79,8729.82
36.0,40.0,26.32,7.61,100.1,6.38,120.33,120.62,4737.96,4515.51,8952.27
37.0,40.0,26.26,7.61,100.05,6.37,120.28,120.56,4739.39,4513.43,9178.24
38.0,40.0,26.2,7.61,99.99,6.35,120.22,120.58,4740.9,4512.45,9406.7
39.0,40.0,26.14,7.61,99.94,6.34,120.16,120.58,4742.47,4512.73,9636.43
40.0,40.0,26.08,7.61,99.89,6.33,120.11,120.57,4744.07,4514.12,9866.39
41.0,40.0,26.02,7.61,99.86,6.33,120.05,120.57,4745.69,4516.49,10095.58
42.0,40.0,25.96,7.62,99.83,6.33,120.0,120.57,4747.29,4519.65,10323.22
43.0,40.0,25.91,7.62,99.81,6.33,119.95,120.57,4748.88,4523.49,10548.61
44.0,40.0,25.85,7.63,99.79,6.33,119.91,120.57,4750.43,4527.89,10771.16
45.0,40.0,25.8,7.64,99.79,6.33,119.88,120.57,4751.95,4532.75,10990.36
46.0,40.0,25.75,7.64,99.79,6.34,119.86,120.58,4753.42,4537.72,11206.06
47.0,40.0,25.7,7.65,99.8,6.35,119.85,120.58,4754.84,4542.75,11418.15
48.0,40.0,25.65,7.65,99.81,6.35,119.84,120.58,4756.2,4547.61,11626.73
49.0,40.0,25.61,7.66,99.82,6.36,119.84,120.56,4757.51,4552.33,11831.91
50.0,40.0,25.57,7.67,99.84,6.37,119.85,120.53,4758.75,4556.83,12033.83
51.0,40.0,25.53,7.67,99.86,6.38,119.86,120.53,4759.93,4560.9,12232.86
52.0,40.0,25.49,7.67,99.88,6.38,119.88,120.53,4761.06,4564.56,12429.36
53.0,40.0,25.45,7.68,99.9,6.39,119.9,120.51,4762.12,4567.75,12623.73
54.0,40.0,25.42,7.68,99.92,6.4,119.92,120.51,4763.12,4570.46,12816.4
55.0,40.0,25.39,7.68,99.93,6.4,119.94,120.51,4764.07,4572.71,13007.76
56.0,40.0,25.36,7.69,99.95,6.4,119.96,120.51,4764.96,4574.63,13198.08
57.0,40.0,25.33,7.69,99.96,6.4,119.98,120.51,4765.79,4576.11,13387.77
58.0,40.0,25.31,7.69,99.97,6.41,120.0,120.51,4766.58,4577.27,13577.08
59.0,40.0,25.28,7.69,99.98,6.41,120.02,120.51,4767.31,4578.12,13766.26
60.0,40.0,25.26,7.69,99.98,6.4,120.03,120.51,4767.99,4578.66,13955.59
61.0,40.0,25.24,7.69,99.98,6.4,120.04,120.51,4768.63,4579.11,14145.11
62.0,40.0,25.22,7.69,99.99,6.4,120.05,120.51,4769.23,4579.46,14334.88
63.0,40.0,25.21,7.69,99.99,6.4,120.06,120.51,4769.78,4579.58,14525.08
64.0,40.0,25.19,7.69,99.99,6.4,120.06,120.51,4770.3,4579.6,14715.78
